text,score,magnitude
b'Reading up about the S2F model of @100trillionUSD. Interesting but not yet convinced. Fact checking in upcoming days. #Bitcoin #S2F #PlanB',0.0,0.5
"b'Have you tried sending Bitcoin over the Tron blockchain yet?\n\nPut your beliefs aside and give it a shot, I guarantee you\xe2\x80\x99ll be pleasantly surprised!\n\n#Bitcoin #BTC #TRX #TRON https://t.co/liUQU18zqu'",0.2,1.4
b'Time : 2021-01-23T21:21:11.6904385Z\n\n#Coding Test now.\n#Someone #dark #Python #C++ #Telegram #facebook #twitter #instagram #code #love #time #today #news #programming #girls #boys #badthings #bad #bitcoin #follow #emarkiting #Gmail',-0.1,0.5
b'Bitcoin just hanging out at 32K is just glorious. #bitcoin',0.5,1.0
"b'Here\xe2\x80\x99s How #Bitcoin Could Go to $1 Million, According to Morgan Creek Digital\xe2\x80\x99s Anthony Pompliano https://t.co/XjhPJyuitH https://t.co/0NlQVYtIg9'",0.0,0.0
b'Did you know;\n\nThat @FirdaosOfficial partners @emaardubai (#RealEstate) properties donated $27 million to Social Solidarity Fund to fight #COVID19 \xf0\x9f\x92\xaa\n https://t.co/tFhCjN97hn\n\n#fdo $fdo #zpae #defi #cryptocurrencies #Crypto #btc #eth #propertyforsale #propertyinvestment https://t.co/9c1PLgN8sQ',0.0,0.2
b'Time : 2021-01-23T21:26:12.3957593Z\n\n#Coding Test now.\n#Someone #dark #Python #C++ #Telegram #facebook #twitter #instagram #code #love #time #today #news #programming #girls #boys #badthings #bad #bitcoin #follow #emarkiting #Gmail',-0.1,0.4
"b'#DeFi Daily : $RUNE, $LINK, $CRV are the best coins\n\nRead:https://t.co/cXy5d8DzSi\n\n#cryptocurrency #cryptonews #cryptotwitter #follow #btc #bitcoin #blockchain #ethereum $BTC #DeFi #cryptogiveaway #RUNE #RUNEUSDT #LINK #INKUSDT #CRV  #CRVUSDT'",0.2,0.8
"b'$XRP has one of the fastest growing user bases in the crypto industry, and the upcoming Spark Token by @FlareNetworks will accelerate this growth even further. \n\nThats why our institutional clients are especially interested in #Ripple.\n\n#XRPCommunity #xrpthestandard #Bitcoin'",0.5,1.5
"b""@benmezrich @cameron The statement is used by some social media to change people's perception about #Bitcoin, altcoins so they don't get on the boat quick enough. Also to keep the populations from passing to crypto to quickly, otherwise banks will be loosing top dollar\xf0\x9f\x92\xb5\xf0\x9f\x92\xb7\xf0\x9f\x92\xb6\xf0\x9f\x92\xb4""",-0.4,0.8
